time,joint1,joint2,joint3,joint4,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,x,y,z,pitch
1.16,-0.002893156108606781,-1.2861300012101147,1.052257641862869,0.4339427842120741,0.00028526291020534696,0.20420192450392122,-0.1352640813750279,-0.137964234809432,0.28792707537074924,-0.0008330203011679212,-0.030884986551993687,0.2000704248648285
1.18,-0.0028874101040368624,-1.2820167949382542,1.0495330393929323,0.4311637929891011,0.00028933275309645976,0.2071152711783823,-0.1371938925783518,-0.1399325690729463,0.28851727631424007,-0.0008330700139598615,-0.0307478069899019,0.19868003744377927
1.2,-0.002881582990230527,-1.277845527623129,1.0467699770813466,0.42834557418575286,0.00029337383384699935,0.210008028830409,-0.13911006553995608,-0.14188699284696576,0.289114671900905,-0.000833110226692961,-0.03060653028122245,0.19727002364397034
1.22,-0.002875675342430586,-1.2736166110451874,1.0439687276929457,0.42548840601181914,0.00029738615245696563,0.21288019746000136,-0.14101260025984078,-0.14382750613149048,0.2897191461405917,-0.0008331405013420102,-0.030461082573339522,0.1958405226595774
1.24,-0.002869687735879852,-1.2693304569848785,1.0411295639925642,0.42259256667708983,0.0003013697089263587,0.21573177706715937,-0.1429014967380059,-0.14575410892652035,0.2903305820800939,-0.0008331603978025626,-0.030311389898147082,0.19439167368477556
1.26,-0.0028636207458211356,-1.2649874772226506,1.0382527587450368,0.4196583343913549,0.00030532450325517857,0.21856276765188304,-0.14477675497445136,-0.14766680123205544,0.2909488618036718,-0.000833169474055102,-0.030157378212016618,0.19292361591374108
1.28,-0.0028574749474972487,-1.2605880835389527,1.0353385847151977,0.41668598736440426,0.00030925053544342523,0.22137316921417233,-0.14663837496917725,-0.1495655830480957,0.29157386643398253,-0.0008331672863301691,-0.029998973435675546,0.19143648854064926
1.3,-0.0028512509161510023,-1.2561326877142331,1.0323873146678813,0.4136758038060278,0.0003131478054910986,0.22416298175402727,-0.14848635672218352,-0.1514504543746412,0.29220547613343795,-0.000833153389274454,-0.029836101493988715,0.18993043075967592
1.32,-0.0028449492270252084,-1.251621701528941,1.0293992213679217,0.41062806192601525,0.0003170163133981987,0.22693220527144786,-0.15032070023347022,-0.15332141521169185,0.29284357010600026,-0.0008331273361178473,-0.029668688355639322,0.18840558176499594
1.34,-0.0028385704553626784,-1.247055536763525,1.0263745775801538,0.4075430399341567,0.00032085605916472564,0.2296808397664341,-0.15214140550303729,-0.15517846555924772,0.29348802659943013,-0.0008330886788414488,-0.029496660072701544,0.18686208075078553
